name,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,exposi_a,exposi_b,exposi_c,exposi_d,id
LA CRUZ,0.169106311605799,0.152145869781061,0.48745,0.733494109833587,0.625353212054912,0.947,0.0,0.0,0.146763719988383,0.1438,0.107,0.374,0.248,0.244,0.152,0.0,0.0,0.26,1658
GABRIEL HERNANDEZ,0.169106311605799,0.152145869781061,0.48745,0.733494109833587,0.625353212054912,0.947,0.0,0.0,0.146763719988383,0.1438,0.22,0.374,0.248,0.332,0.152,0.0,0.0,0.693,1659
VILLAHERMOSA,0.022427281690696,0.121801357747777,0.66054,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.178076491293577,0.0893,0.365,0.381,0.243,0.432,0.122,0.368,0.0,0.548,1660
DEL OBRERO,0.022427281690696,0.121801357747777,0.66054,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.178076491293577,0.0893,0.286,0.381,0.243,0.37,0.122,0.368,0.0,0.24,1661
JUAN GONZALEZ ROMERO,0.022427281690696,0.121801357747777,0.66054,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.178076491293577,0.0893,0.304,0.381,0.243,0.384,0.122,0.368,0.0,0.311,1662
NUEVA VALLEJO,0.051053906576593,0.269124407949719,0.84836,0.733494109833587,0.659261971278421,0.9735,0.0,0.0,0.187291301512317,0.096,0.087,0.488,0.251,0.118,0.269,0.015,0.0,0.036,1663
NVA INDUSTRIAL VALLEJO,0.051053906576593,0.269124407949719,0.84836,0.733494109833587,0.659261971278421,0.9735,0.0,0.0,0.187291301512317,0.096,0.222,0.488,0.251,0.222,0.269,0.015,0.0,0.554,1664
REVOLUCION IMSS,0.038534797215807,0.220052678789841,0.91052,0.733494109833587,0.645051152942228,0.947,0.0,0.0,0.076824859589562,0.1388,0.224,0.476,0.233,0.218,0.22,0.065,0.0,0.512,1665
CHURUBUSCO TEPEYAC,0.038534797215807,0.220052678789841,0.91052,0.733494109833587,0.645051152942228,0.947,0.0,0.0,0.076824859589562,0.1388,0.101,0.476,0.233,0.124,0.22,0.065,0.0,0.041,1666
VASCO DE QUIROGA,0.036977509392317,0.134528148648044,0.69814,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.117902698395021,0.1008,0.205,0.395,0.233,0.284,0.135,0.233,0.0,0.189,1667
