Población,Precipitación,"Edad infra","Índice ingreso","Falla infra","Presión mediática","Falta infra","Escasez",Hundimiento,"Enfermedades gastro","Sin drenaje","Sin agua",Encharcamientos,id
3045,739,50,0.816962234,0.5,0.0625,0.0625,0.0625,0,0.44754,0,0,2.5254474497,6548
0,741,50,0,0.5,0.0625,0.0625,0.0625,0,0,0,0,2.4519416715,6302
3660,737,50,0.683650821,0.5,0.0625,0.0625,0.0625,0,3.07993,0,0,0.3869949182,6292
1294,738,50,0.857606858,0.5,0.0625,0.0625,0.0625,0,1.0393,0,0,0.5865914053,6545
2437,732,50,0.630509811,0.25,0.0625,0.0625,0.0625,1,0.88995,0,0,13.372776195,6528
11929,729,50,0.613825317,0.25,0.25,0.25,0.0625,1,1.16417,0.1033,0.8935,1.8094287677,6520
5587,731,50,0.679842004,0.25,0.125,0.0625,0.0625,1,1.95878,0,0,13.7763149474,6261
4594,722,50,0.575739152,0.25,0.125,0.0625,0.0625,1,1.24063,0,0.2616,0.3130075031,6490
5407,728,50,0.566798478,0.25,0.125,0.0625,0.0625,1,1.40599,0,0.2177,0.8278702598,6250
5807,722,50,0.503940304,0.125,0.0625,0.0625,0.0625,1,1.38381,0,0.8721,0.2474602074,6533
3639,724,50,0.442964641,0.0625,0.0625,0.0625,0.0625,1,0.84538,0.5441,0.76,0.9658190268,6554
3658,727,50,0.413005607,0.0625,0.0625,0.0625,0.0625,1,0.89302,0,0.9615,0.6316335339,6553
4181,733,50,0.449389557,0.0625,0.0625,0.0625,0.0625,1,0.99376,0,0,0.3550282594,6541
7928,746,50,0.567807913,0.5,0.0625,0.0625,0.0625,1,1.50731,0,0.3763,15.4014587872,6301
2783,738,50,0.788059597,0.5,0.0625,0.0625,0.0625,1,1.41793,0,0,3.2674484912,6468
3389,734,50,0.735441132,0.5,0.0625,0.0625,0.0625,1,1.6984,0.3236,0,0.912938289,6470
4928,758,50,0.671759483,1,0.125,0.125,0.0625,0,2.2478,0,0.2317,0.6118148943,6394
2994,757,50,0.731347335,0.5,0.0625,0.0625,0.0625,1,1.29997,0,3.3679,0.1275178573,6549
11124,755,50,0.627607135,0.5,0.0625,0.25,0.0625,1,1.42033,0,0.1663,39.7575720868,6360
6380,754,50,0.641654157,1,0.125,0.125,0.0625,1,1.2236,0.177,0.7661,1.4357391563,6347
760,748,50,0.738951571,0.5,0.0625,0.0625,0.0625,1,0.32723,0,0,0.7560930765,6459
3143,748,50,0.773258324,0.5,0.125,0.0625,0.0625,1,6.70227,0,0,1.7676017901,6458
3178,754,50,0.739912948,0.5,0.0625,0.0625,0.0625,1,0.44581,0,0,3.1924019713,6441
2907,754,50,0.764861187,1,0.0625,0.0625,0.0625,1,0.40832,0,0,2.4572283883,6440
1967,746,50,0.659289611,1,0.125,0.0625,0.0625,1,0.37511,0,0,7.9286366163,6308
2752,749,50,0.692944149,0.5,0.0625,0.0625,0.0625,1,0.52761,0,0,4.3440461427,6328
5587,755,50,0.584876109,1,0.0625,0.0625,0.0625,1,3.09072,0,0.3511,0.9172559492,6330
5074,731,50,0.475376708,0.5,0.0625,0.0625,0.0625,1,1.23036,0,0.2408,0.2979952111,6494
7794,731,50,0.576043623,0.5,0.125,0.0625,0.0625,1,1.46997,0.2025,0.2021,0.3961042662,6258
2435,744,50,0.806821507,1,0.0625,0.0625,0.0625,1,0.24425,0,0,5.5400718347,6336
2030,745,50,0.732757202,1,0.0625,0.0625,0.0625,0,0.20513,0,0,24.954756062,6318
1826,733,50,0.440096027,0.0625,0.0625,0.0625,0.0625,1,0.43547,0,0.8547,0.1153077949,6475
